sec_code,beta,beta_obs
6615,0.8679665680272779,60
6616,1.612307438584219,60
6617,1.5184711874067838,60
6619,0.8708927597760494,60
6620,1.0054400878078518,60
6622,2.0840344966007525,60
6630,0.10096856461688876,60
6632,0.8730696744863231,60
6638,1.7688713875645679,60
6644,0.9358968030276914,60
6645,1.8517444538433576,60
6651,0.9911964929022739,60
6652,0.7061916019952785,60
6653,1.5066363756951586,60
6674,1.9534821773455375,60
6701,0.9599344146977541,60
6702,0.662123101530255,60
6703,2.210851591763057,60
6706,0.8767678044949925,60
6707,1.4219155223761133,60
6718,0.6376405992333715,60
6723,2.1039222915286486,60
6724,1.5480245642213246,60
6727,1.3077871083106158,60
6728,2.3043499551053976,60
6737,0.7698643956548046,60
6740,-1.4707369427055637,60
6741,0.9476046223369834,60
6742,1.38236839922999,60
6744,0.5613749669560355,60
6745,1.123063412549684,60
6750,0.6348867142611555,60
6752,1.3948566090987473,60
6753,0.4036662696242379,60
6754,1.3958229014456154,60
6758,0.8918503386828763,60
6762,1.8726355151264347,60
6763,0.37289450111852,60
6768,1.4649982466009936,60
6770,0.7854836705239154,60
6779,1.5578762875715964,60
6785,0.9431846849083229,60
6787,2.647090758601482,60
6788,0.7127775537610749,60
6794,1.4120874786455588,60
6798,1.1879097158344634,60
6800,2.348241342472372,60
6804,0.7380163411058419,60
6806,1.3527841903403295,60
6807,0.9328788333457305,60
6809,0.8561910454966134,60
6810,0.7721703876744839,60
6814,1.785848325602508,60
6817,1.0679892358231968,60
6820,0.42998398582001107,60
6823,1.0812562569866153,60
6841,1.5663596459460667,60
6844,1.5363545820817892,60
6845,0.9135534645403474,60
6849,0.5304599034184245,60
6850,1.560709066821009,60
6856,1.8943623350390015,60
6857,2.713830410994478,60
6859,1.839648268750223,60
6861,1.4482691959278353,60
6866,1.4119780753934668,60
6869,0.7474601805425987,60
6871,3.458217660736429,60
6875,1.1878219276726887,60
6902,1.3676023221225198,60
6905,1.091005676729891,60
6914,1.4130187893625175,60
6920,2.040134944738525,60
6923,1.0509066686269044,60
6925,1.3258168883501795,60
6929,0.8173458774654666,60
6941,1.918707774577279,60
6947,0.5073106989135424,60
6951,1.8763717484523175,60
6952,0.919994459868474,60
6954,1.3367789653161648,60
6958,1.6280689351097315,60
6961,1.7857146952158243,60
6962,1.2467400139062965,60
6963,1.8772626774983634,60
6965,1.641084228460352,60
6966,3.064660069841645,60
6971,1.1168158397909067,60
6976,3.0833086608704643,60
6981,2.266040316046282,60
6986,1.0686156184953035,60
6988,1.206550382288989,60
6995,1.1707290375579829,60
6996,1.59350954636644,60
6997,2.1211357620340117,60
6999,2.097088005213108,60
7003,2.8498721685903328,60
7004,1.2405867143106246,60
7011,1.216370309101103,60
7012,2.1847472076805237,60
7013,1.7380991169162756,60
7033,1.1417595220438193,60
7034,1.2285644550330161,60
7038,0.881881287721823,60
7059,1.0545155262666899,60
7071,0.8751291035354499,60
7085,1.0517915642001474,60
7095,0.683285013648674,60
7102,1.017939542854834,60
7128,0.4874658000428083,58
7130,0.2761419359772862,58
7148,0.9558825407646927,60
7157,0.7099496452356757,60
7164,0.20781671501979368,60
7167,0.36257294244337485,60
7172,0.4475598487898838,60
7173,0.5153097403133077,60
7180,0.8626506557484173,60
7181,0.3487612154892301,60
7182,0.7747244791415051,60
7184,1.007035315170445,60
7186,0.5805573728699037,60
7187,0.8888381395663624,60
7189,0.7836232259371116,60
7198,0.1547747531029895,60
7199,0.4964798043664581,60
7201,1.4785949700216854,60
7202,1.305816898542031,60
7203,1.5120621062120034,60
7211,1.400321798327477,60
7220,2.244893476060662,60
7224,0.9661158367872836,60
7226,0.5685892975422961,60
7231,1.2025538187249007,60
7236,2.088937146431078,60
7238,1.4377172172133477,60
7239,1.1107768152152475,60
7240,1.2014077293965384,60
7241,1.5077040886346857,60
7242,1.2307310883127356,60
7244,1.2436202814632882,60
7245,1.7309874938937773,60
7246,1.133649430836972,60
7259,1.1173564747299114,60
7261,1.7761856448364342,60
7267,1.3387221250304246,60
7269,1.2339667064615536,60
7270,1.0934789115448618,60
7272,1.4611177355770832,60
7276,1.0925025764248089,60
7278,0.7901515166485628,60
7280,2.4415495165994807,60
7282,1.466918202787277,60
7283,1.3766651827485321,60
7294,1.2511540311701863,60
7296,0.8531769757189586,60
7309,0.5067198020831742,60
7313,0.8059066273701616,60
7322,0.9503531618732781,60
7327,0.5633662662737542,60
7337,0.7620191494481056,60
7347,0.4207747395622516,60
7350,0.7163158454115021,58
7366,1.2422778050729322,60
7380,0.7800706319051286,58
7381,0.17803560343951988,58
7383,1.3790349371989457,56
7384,0.378037342632251,52
7388,1.3201263754685673,47
7389,0.8117509315294298,46
7414,0.4881953539842176,60
7419,0.07241814507364326,60
7421,0.11953598703023573,60
7433,0.7151469113172386,60
7438,0.43609597207044404,60
7447,0.3701328913216906,60
7453,0.7608253335328437,60
7456,1.3525140589165285,60
7458,0.40556987691200846,60
7459,0.2813010365260161,60
7466,0.8045684684596088,60
7475,0.22041882080843686,60
7476,0.8290916066495663,60
7482,0.7809433323864045,60
7483,0.5974663383767362,60
7504,0.9428384224063927,60
7508,0.7140624182133692,60
7510,0.8088458147354298,60
7513,0.3408050150486849,60
7516,0.16569814060397559,60
7520,0.2666499335314503,60
7522,0.20753626259451213,60
7525,0.6990743724165076,60
7532,0.5157434790273916,60
7537,1.1815641490912596,60
7545,0.33722072930774843,60
7550,0.23404299852478908,60
7552,0.30150932862247276,60
7554,0.2838185644997748,60
7575,0.3135722418337536,60
7581,0.39290376831460744,60
7593,0.6056466872234821,60
7595,0.7384929296096013,60
7596,0.311750836949151,60
7599,0.684615408769257,60
7600,1.2415567323337526,60
7606,0.6407918439954998,60
7607,0.7637835441442586,60
7609,1.4615625706005262,60
7611,0.09786834070533755,60
7613,1.3797394472909923,60
7616,0.23642164339417313,60
7628,0.39476000118263643,60
7630,0.34862315597280585,60
7637,1.5606727486375453,60
7649,0.29707568954944197,60
7679,0.17948262351446048,60
7683,0.4979594577650965,60
7701,0.9910771245946165,60
7715,1.5538975893762639,60
7717,2.1782990080539903,60
7721,1.471147552896151,60
7723,0.8858398259714279,60
7725,0.9832651932599858,60
7729,1.9468886755059611,60
7730,0.9889025781079142,60
7731,1.2239932008758134,60
7733,0.598090680103701,60
7734,1.1830971397026007,60
7735,2.4798470426218255,60
7740,1.2050478252207244,60
7741,1.1208488215866381,60
7744,0.9481176790002336,60
7745,1.9605956694129738,60
7747,1.1909042498016853,60
7751,0.9216210414256703,60
7752,0.9264264725373467,60
7762,1.5036960680445297,60
7769,0.5356502717679562,60
7780,0.640626504466992,60
7818,0.8270942311296798,60
7820,0.265472035171636,60
7821,0.6635323009701719,60
7826,2.8883175017249556,60
7832,0.4445849841456701,60
7839,0.48496141197200604,60
7840,0.4078101814549514,60
7844,0.48232889218181885,60
7846,0.18549468978995606,60
7856,0.8232750002717805,60
7860,-0.13427554612417436,60
7864,0.4493048765550966,60
7867,0.825436895131592,60
7868,-0.10910247055270733,60
7874,0.17148208743062052,60
7888,1.878302358750453,60
7893,0.22248824836632022,60
7911,0.7587829575144732,60
7912,0.8603717499144117,60
7914,0.7875911161079585,60
7915,1.0337650367103584,60
7917,1.2007209929703797,60
7921,0.3396165031199259,60
7931,0.903410051837308,60
7936,1.449678480145199,60
7942,1.1773535988802821,60
7943,0.6711282052360136,60
7944,0.5460764518600909,60
7947,0.02289133713202844,60
7949,0.8246735938664216,60
7951,0.65253824554959,60
7952,0.6839386432618181,60
